Sample ID,Sample Description,Age (days),2-Hydroxyisobutyrate,2-Hydroxyisovalerate,4-Guanidinobutanoate,Acetic Acid,Arabinose,Caffeine,Citraconate,Citrate,Ethanol,Formic acid,Fructose,Fucose,Fumaric acid,Gallic acid,Gluconic acid,Glucose,Glucuronic acid,Glycerol,Glycine,Isobutyric acid,Lactic acid,Lactose,Propylene glycol,Succinic acid,Sucrose,Tartaric acid,Xylose
53A,Starter,28,1.2,3.6,0.0,3693.2,0.0,17.1,0.0,0.0,4069.4,2.8,13110.8,0.0,0.0,8.3,2318.1,6769.7,0.0,0.0,34.1,5.7,1402.1,0.0,0.0,65.1,14.8,48.1,0.0
54A,Starter,35,0.6,4.8,0.0,4349.7,0.0,1.9,0.0,0.0,4239.7,2.7,13353.8,0.0,0.0,7.6,1746.6,7427.7,0.0,0.0,53.8,5.1,1153.7,0.0,33.9,63.8,89.1,33.9,0.0
55A,Starter,42,6.7,6.0,0.0,10085.3,0.0,0.5,0.0,0.0,2671.0,4.7,14205.7,0.0,0.0,15.6,2674.9,3313.7,4.1,0.0,22.1,10.9,980.8,0.0,0.0,0.6,6.9,61.2,0.0
56A,Starter,49,5.6,5.5,0.0,8536.7,0.0,0.0,0.0,0.0,3643.6,0.0,12618.1,0.0,0.0,12.6,2204.9,2183.5,0.0,0.0,27.9,4.3,1455.4,0.0,0.0,87.5,0.0,63.2,0.0
57A,Starter,56,0.7,4.6,0.0,5672.5,0.0,0.6,0.0,1.2,2978.1,3.6,13001.6,0.0,0.0,10.5,2281.8,4837.0,0.0,0.0,30.7,8.9,761.6,0.0,0.0,59.3,0.0,38.0,0.0
58A,Starter,70,4.2,5.1,0.0,7158.4,0.0,0.7,0.0,0.0,1408.0,6.4,11478.7,0.0,0.0,13.8,1963.0,2502.2,0.0,0.0,18.3,11.1,557.1,0.0,0.0,71.1,4.4,29.5,0.0
59A,Original ,Retail,0.4,1.9,0.0,1020.7,0.0,16.4,0.0,0.0,3047.8,1.4,13603.0,0.0,0.0,6.0,631.3,14068.2,0.0,0.0,57.8,2.4,339.4,0.0,15.1,39.7,42.2,27.1,0.0
60A,Original ,Retail,0.0,2.9,0.0,1065.6,0.0,16.3,0.0,0.0,4337.5,0.8,11196.8,0.0,0.0,6.5,268.3,8677.2,0.0,0.0,30.3,0.8,448.3,0.0,0.0,41.1,3.5,20.9,0.0
61A,Original ,Retail,4.1,0.0,0.0,1445.6,0.0,17.4,0.0,0.0,5825.4,1.0,10014.8,0.0,0.0,9.7,457.9,9548.0,0.0,0.0,43.8,2.9,664.7,0.0,0.0,49.9,0.0,20.7,0.0
62A,Original ,Retail,3.4,0.0,0.0,1418.1,0.0,15.7,0.0,0.0,4843.2,1.0,10844.2,0.0,0.0,9.6,444.4,12059.3,0.0,0.0,37.8,2.5,533.0,0.0,0.0,47.5,5.1,20.8,0.0
63A,K2-Original ,Retail,2.1,0.0,0.0,1899.9,0.0,7.7,0.0,0.0,3137.6,1.0,7056.1,0.0,0.0,6.8,407.3,5389.1,0.0,0.0,175.1,0.0,117.7,0.0,0.0,29.3,9809.1,15.4,0.0
64A,K2-Original ,Retail,1.5,0.0,0.0,1175.3,0.0,3.9,0.0,0.0,1794.1,0.9,4191.3,0.0,0.0,4.6,429.3,3119.9,0.0,0.0,60.5,1.5,174.9,0.0,0.0,23.9,6116.2,14.3,0.0
65A,K2-Original ,Retail,0.0,0.0,0.0,1774.3,0.0,1.6,0.0,0.0,2733.2,1.3,7257.7,0.0,0.0,6.0,465.6,5579.3,0.0,0.0,246.5,0.0,220.3,0.0,0.0,31.5,7872.9,10.8,0.0
66A,K2-Original ,Retail,0.0,0.0,0.0,1839.5,0.0,3.9,0.0,0.0,2892.1,1.1,4831.9,0.0,0.0,6.0,486.2,6097.9,0.0,0.0,223.5,0.0,219.8,0.0,0.0,31.4,7076.7,11.4,0.0
67A,PG,Retail,4.3,0.0,0.0,789.0,0.0,16.9,0.0,0.0,4970.5,5.6,9125.4,0.0,0.0,10.4,1121.0,8691.1,0.0,0.0,206.8,3.5,991.0,0.0,0.0,68.0,7833.6,23.1,0.0
68A,PG,Retail,2.9,0.0,0.0,1105.3,0.0,20.6,0.0,0.0,4256.4,2.9,11651.5,0.0,0.0,7.5,509.2,8132.5,0.0,0.0,49.9,3.2,329.9,0.0,0.0,36.9,15.6,15.7,0.0
69A,PG,Retail,2.1,0.0,0.0,906.5,0.0,17.2,0.0,0.0,3303.7,2.8,9149.1,0.0,0.0,5.7,349.9,9262.0,0.0,0.0,38.5,2.3,366.7,0.0,0.0,31.7,12.1,14.7,0.0
70A,PG,Retail,4.8,0.0,0.0,1866.3,0.0,18.8,0.0,0.0,6377.8,2.7,10387.6,0.0,0.0,7.3,870.7,9480.1,0.0,0.0,75.7,4.0,1075.5,0.0,0.0,74.2,0.0,40.5,0.0
71A,Grape,Retail,2.1,0.0,0.0,752.5,0.0,18.4,0.0,0.0,6389.6,0.7,13354.4,0.0,0.0,8.1,507.6,9654.2,0.0,0.0,70.5,3.1,480.7,0.0,0.0,52.5,0.6,162.1,0.0
72A,Grape,Retail,3.2,0.0,0.0,927.1,0.0,13.2,0.0,0.0,7213.4,0.7,14152.3,0.0,0.0,7.0,537.1,11790.4,0.0,0.0,59.2,0.0,566.4,0.0,0.0,53.6,0.0,213.3,0.0
73A,Grape,Retail,2.1,0.0,0.0,925.8,0.0,16.3,0.0,0.0,5979.0,0.8,14685.2,0.0,0.0,7.4,602.7,12783.3,0.0,0.0,82.4,2.9,211.2,0.0,0.0,42.1,0.0,169.9,0.0
74A,Grape,Retail,3.5,0.0,0.0,1205.7,0.0,0.0,0.0,0.0,8104.9,0.0,12139.7,0.0,0.0,0.0,540.4,11878.7,0.0,0.0,90.4,0.0,851.4,0.0,0.0,64.3,0.0,241.6,0.0
75A,JCK,Retail,1.3,0.0,0.0,1338.2,0.0,24.1,0.0,0.0,4056.9,1.3,11441.8,0.0,0.0,7.2,797.1,13704.3,0.0,0.0,72.7,3.0,1214.6,0.0,0.0,54.9,8.2,26.4,0.0
76A,JCK,Retail,1.6,0.0,0.0,1187.4,0.0,24.9,0.0,0.0,3737.3,1.9,8003.7,0.0,0.0,7.0,483.0,13316.2,0.0,0.0,68.3,2.8,1414.9,0.0,0.0,45.7,4.9,20.7,0.0
77A,JCK,Retail,1.2,0.0,0.0,923.2,0.0,21.6,0.0,0.0,2801.1,2.4,8915.5,0.0,0.0,6.4,683.0,12204.9,0.0,0.0,45.6,2.6,1698.1,0.0,0.0,47.7,4.0,21.9,0.0
78A,JCK,Retail,1.9,0.0,0.0,1239.9,0.0,21.9,0.0,0.0,3544.2,2.4,12553.7,0.0,0.0,6.9,437.2,12178.2,0.0,0.0,55.7,0.0,1518.4,0.0,0.0,50.4,10.2,23.5,0.0
79A,CC,Retail,0.0,0.0,0.0,1096.0,0.0,20.0,0.0,0.0,6120.6,0.9,11838.0,0.0,0.0,6.1,657.7,6486.8,0.0,0.0,56.6,3.6,295.2,0.0,0.0,41.5,0.0,0.0,0.0
80A,CC,Retail,3.9,0.0,0.0,1189.9,0.0,7.6,0.0,0.0,9558.8,0.7,8676.7,0.0,0.0,6.5,627.0,4208.0,0.0,0.0,72.6,4.0,268.9,0.0,0.0,44.6,14.1,18.0,0.0
81A,CC,Retail,0.0,2.9,0.0,1147.0,0.0,1.9,0.0,0.0,7277.9,0.8,10316.2,0.0,0.0,5.1,605.0,5501.6,0.0,0.0,61.1,3.8,304.7,0.0,0.0,37.4,14.6,14.1,4.9
82A,CC,Retail,0.1,5.5,1.5,741.3,0.0,2.1,0.0,0.0,8177.2,0.8,8512.5,0.0,0.0,6.3,479.1,4335.4,0.0,0.0,46.1,3.5,401.0,0.0,0.0,48.4,6.7,16.6,0.0
83A,BR,Retail,0.1,2.2,0.0,1196.9,0.0,0.0,0.0,0.0,4307.8,1.5,15355.8,0.0,0.0,8.1,815.8,14778.8,0.0,0.0,56.0,3.5,309.7,0.0,0.0,43.9,7.9,25.9,0.0
84A,BR,Retail,0.0,2.3,0.0,1182.9,0.0,0.5,0.0,0.0,3614.6,1.4,16579.9,0.0,0.0,7.2,707.8,16216.5,0.0,0.0,43.6,0.0,255.4,0.0,21.3,35.7,25.7,21.4,0.0
85A,BR,Retail,0.0,2.9,0.0,1363.1,0.0,1.9,0.0,0.0,4345.7,1.2,15800.0,0.0,0.0,5.9,481.7,14425.0,0.0,0.0,43.7,0.0,373.9,0.0,12.1,39.0,0.0,19.1,0.0
86A,BR,Retail,0.1,2.8,0.0,1333.9,0.0,0.4,0.0,0.0,4056.8,1.1,10218.2,0.0,0.0,5.9,551.7,12725.0,0.0,0.0,38.0,2.9,369.0,0.0,23.7,36.5,15.1,21.1,0.0
87A,Maca,Retail,0.1,3.0,0.0,1350.5,0.0,3.5,0.0,0.0,5092.1,1.5,9676.8,0.0,0.0,7.9,666.3,12878.8,0.0,0.0,58.4,3.6,565.0,0.0,15.1,54.2,33.9,27.2,17.4
88A,Maca,Retail,0.0,3.1,0.0,946.0,0.0,9.8,0.0,0.0,5111.3,1.6,13148.3,0.0,0.0,7.3,565.4,14852.9,0.0,0.0,48.6,0.0,735.7,0.0,0.0,60.2,55.3,29.4,0.0
89A,Maca,Retail,0.0,2.4,0.0,1243.7,0.0,3.4,0.4,0.0,4468.7,1.3,13025.3,0.0,0.0,6.8,646.1,12266.8,0.0,0.0,65.3,3.5,375.7,0.0,25.1,49.4,14.2,23.1,0.0
90A,Maca,Retail,0.0,2.7,0.0,1027.4,0.0,3.6,0.0,0.0,4875.4,1.2,16132.4,0.0,0.0,9.1,687.5,13877.0,0.0,0.0,61.5,3.7,280.4,0.0,19.3,52.8,6.3,24.8,0.0
91A,PLA,Retail,0.0,3.8,0.0,917.8,0.0,3.7,0.0,0.0,8146.8,0.7,12988.9,24.6,0.0,7.1,563.6,9056.1,0.0,0.0,67.5,4.2,1097.1,0.0,0.0,46.8,8.6,18.9,0.0
92A,PLA,Retail,0.0,4.5,0.0,1119.9,0.0,2.1,0.0,0.0,7083.4,0.8,11963.6,0.0,0.0,7.6,560.7,9738.4,0.0,0.0,72.6,0.0,625.4,0.0,0.0,43.3,16.9,18.6,0.0
93A,PLA,Retail,0.0,4.4,0.0,1159.0,0.0,2.4,0.0,1.9,6524.1,0.8,12113.7,0.0,0.0,7.7,591.1,10939.6,0.0,0.0,63.2,4.5,654.1,0.0,20.9,42.4,21.6,19.6,0.0
94A,PLA,Retail,0.0,3.7,0.0,1073.3,0.0,5.3,0.0,0.0,6673.9,0.8,14578.5,0.0,0.0,6.7,384.9,10449.9,0.0,0.0,65.5,3.5,950.3,0.0,0.0,48.7,11.9,20.2,0.0
95A,Pom,Retail,0.0,3.0,0.0,948.8,0.0,3.7,0.0,0.0,6522.4,1.0,13781.4,0.0,0.0,34.6,752.3,10720.0,0.0,0.0,62.2,3.9,430.8,33.3,14.0,53.4,4.4,31.0,3.5
96A,Pom,Retail,0.0,2.8,0.0,1022.9,0.0,2.7,0.0,0.0,4984.9,1.3,15011.2,0.0,0.0,33.3,561.6,13932.1,0.0,0.0,60.3,2.7,492.1,71.2,20.2,50.7,16.1,31.3,15.0
97A,Pom,Retail,0.1,3.1,0.0,1188.4,0.0,2.9,0.0,0.0,5366.4,1.1,11480.8,75.1,0.0,35.4,744.1,13184.2,0.0,0.0,48.2,3.3,480.2,0.0,0.0,50.9,9.6,31.1,0.0
98A,Pom,Retail,0.0,3.4,0.0,1066.1,0.0,0.4,0.0,0.0,5574.1,1.3,11008.3,0.0,0.0,35.6,568.7,11861.5,0.0,0.0,59.8,3.3,517.3,80.9,0.0,51.0,11.7,28.7,24.3
99A,BOCG,Retail,0.0,3.6,0.0,1319.7,0.0,25.1,0.0,0.0,6315.4,0.7,8502.3,21.2,0.0,6.3,630.0,9298.6,0.0,0.0,58.9,2.4,1647.6,0.0,9.3,70.1,52.8,22.6,0.0
100A,BOCG,Retail,0.0,2.8,0.0,1168.2,0.0,4.0,0.0,0.0,4353.9,0.8,14294.6,0.0,0.0,7.2,734.9,12352.8,0.0,0.0,60.7,3.3,499.8,49.4,27.7,41.1,1012.4,24.2,5.6
101A,BOCG,Retail,0.0,3.7,0.0,1402.2,0.0,4.1,0.0,0.0,7076.1,0.5,13563.6,0.0,0.0,7.6,733.4,10047.9,0.0,0.0,65.9,4.4,1370.6,0.0,29.9,66.5,17.1,18.6,4.1
103A,GL,Retail,0.0,5.8,0.0,1889.6,0.0,4.6,0.0,0.0,16085.5,1.0,19169.8,0.0,0.0,12.5,922.8,11147.1,0.0,0.0,108.0,6.6,359.2,0.0,44.4,68.7,23.7,28.1,0.0
104A,GL,Retail,0.2,4.4,0.0,1466.9,0.0,3.0,0.0,0.0,12990.5,0.6,11567.8,0.0,0.0,8.7,730.6,6923.2,0.0,0.0,76.7,4.7,296.5,0.0,27.7,50.7,39.7,25.2,6.1
105A,GL,Retail,0.0,4.2,0.0,1166.1,0.0,16.7,0.0,0.0,10680.4,0.6,8117.1,0.0,0.0,5.9,689.5,2915.7,0.0,0.0,65.9,3.2,306.3,0.0,0.0,47.3,13.6,19.3,0.0
106A,GL,Retail,0.0,3.5,0.0,1350.5,5.4,4.1,0.0,0.0,5013.6,1.3,12251.6,0.0,0.0,9.4,791.5,11689.7,0.0,0.0,44.1,2.8,357.8,0.0,29.0,37.0,2.0,17.3,5.6
